RAJ2000,DEJ2000,Vmag
4.320649829774562,0.37506640811677033,2.77
4.640277793456456,0.0797130654480299,2.77
4.08032526398016,-0.7184987235411433,2.78
1.3432490255661358,-0.08877423314796712,2.79
4.583380059841441,0.9128314394770898,2.79
0.1123628428023516,-1.348339569217786,2.80
3.2076751823934284,-1.0253615429994243,2.80
2.1273091032037215,-0.4241877302867885,2.81
4.368937272413072,0.5515773731351302,2.81
4.834431128330392,-0.44369178467782516,2.81
4.345360783100714,-0.49246404099744445,2.82
0.05775585383057902,0.26500400623128345,2.83
3.4128895414018783,0.19127354160814522,2.83
1.4322390008021966,-0.3623206564404006,2.84
1.0215921166287973,0.5564739913143365,2.85
4.167591726579876,-1.1070720408136254,2.85
4.560981667774182,-0.9691813336324512,2.85
0.5182318881484163,-1.0745943723160976,2.86
